datetime,cloud_cover_loss,high_temp_loss,soiling_loss,shading_loss,other_loss
2024-10-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 07:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 08:00:00,0.0,0.2764675633208073,0.0,0.0,0.0
2024-10-04 09:00:00,0.0,-0.656039858192652,0.0,0.0,0.0
2024-10-04 10:00:00,0.0,-1.0900252901471683,0.0,0.0,0.0
2024-10-04 11:00:00,0.0,-2.593422232733832,0.0,0.0,0.0
2024-10-04 12:00:00,0.0,-3.741436374317516,0.0,0.0,0.0
2024-10-04 13:00:00,0.0,-3.0263555001152893,0.0,-0.741333325703939,0.0
2024-10-04 14:00:00,0.0,-2.926660590431907,0.0,0.0,0.0
2024-10-04 15:00:00,0.0,-3.229476083949161,0.0,-0.5504717724495034,0.0
2024-10-04 16:00:00,0.0,-0.32664637590043977,0.0,-0.2910544049818745,0.0
2024-10-04 17:00:00,0.0,-0.3532851169879776,0.0,0.0,0.0
2024-10-04 18:00:00,0.0,0.22689417535022635,0.0,0.046499677168905185,0.0
2024-10-04 19:00:00,0.0,0.13358279142344068,0.0,0.0,0.0
2024-10-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-10-05 07:00:00,0.0,0.0,0.0,0.0,0.001942010221310844
2024-10-05 08:00:00,0.0,0.0,0.0,0.0,0.01868437179450931
2024-10-05 09:00:00,0.0,-0.6191037057468247,0.0,0.0,0.0
2024-10-05 10:00:00,0.0,-2.1759742008986978,0.0,0.0,0.0
2024-10-05 11:00:00,0.0,-3.47501516642715,0.0,0.0,0.0
