datetime,cloud_cover_flag,high_temperature_flag,soiling_flag_refined,shading_flag_refined,other_losses_flag,cloud_cover_loss,high_temp_loss,soiling_loss,shading_loss,other_loss
2024-10-01 00:00:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 00:15:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 00:30:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 00:45:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 01:00:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 01:15:00,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 01:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 01:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 02:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 02:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 02:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 02:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 03:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 03:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 03:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 03:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 04:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 04:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 04:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 04:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 05:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 05:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 05:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 05:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 06:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 06:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 06:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 06:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 07:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 07:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 07:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 07:45:00,False,False,False,False,True,0.0,0.0,0.0,0.0,0.003985070015434301
2024-10-01 08:00:00,False,False,False,False,True,0.0,0.0,0.0,0.0,0.023360738834179887
2024-10-01 08:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 08:30:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 08:45:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 09:00:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 09:15:00,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2024-10-01 09:30:00,False,True,False,False,False,0.0,-0.26337009793396593,0.0,0.0,0.0
2024-10-01 09:45:00,False,True,False,False,False,0.0,-0.4681463816632865,0.0,0.0,0.0
2024-10-01 10:00:00,False,True,False,False,False,0.0,-0.5881532821639118,0.0,0.0,0.0
2024-10-01 10:15:00,False,True,False,False,False,0.0,-0.6925763532023522,0.0,0.0,0.0
2024-10-01 10:30:00,False,True,False,False,False,0.0,-0.8256243046152177,0.0,0.0,0.0
2024-10-01 10:45:00,False,True,False,False,False,0.0,-0.9189999771118164,0.0,0.0,0.0
2024-10-01 11:00:00,False,True,False,False,False,0.0,-1.0285714503696983,0.0,0.0,0.0
2024-10-01 11:15:00,False,True,False,False,False,0.0,-1.037333323160807,0.0,0.0,0.0
2024-10-01 11:30:00,False,True,False,False,False,0.0,-1.0622857012067524,0.0,0.0,0.0
2024-10-01 11:45:00,False,True,False,True,False,0.0,-0.9423333231608071,0.0,-0.9423333231608071,0.0
2024-10-01 12:00:00,False,True,False,False,False,0.0,-0.9155999908447263,0.0,0.0,0.0
2024-10-01 12:15:00,False,True,False,False,False,0.0,-0.9094999885559081,0.0,0.0,0.0
2024-10-01 12:30:00,False,True,False,False,False,0.0,-0.9386666615804038,0.0,0.0,0.0
