datetime,cloud_cover_loss,high_temp_loss,soiling_loss,shading_loss,other_loss
2024-10-06,0.0,-141.31901233429537,0.0,-19.58233398167457,0.04797219086543435
2024-10-13,0.0,-46.11881380104088,5.243545527809271,-4.397439428406181,0.15748725552177853
2024-10-20,0.0,-20.60702899628769,16.20907919380418,7.673197781493803,0.28074495895586127
2024-10-27,0.0,-29.659302168649877,12.034176563045667,-1.4902459298123394,1.031300791577636
2024-11-03,0.0,-33.30773731875993,12.426942922513167,-4.6098044638528135,1.3524447948318516
2024-11-10,0.0,-42.280746846894324,7.365795247586955,-3.961280361611287,0.6675584015678824
2024-11-17,0.0,14.885008791276425,48.00512140779201,12.615720414185052,15.230598428769412
2024-11-24,0.0,-35.044880632371445,2.3170948570983496,-3.797680967093723,0.5804745320492796
2024-12-01,0.0,-26.16377711874005,1.7827142947729768,-2.430073929165877,1.1233095029568265
2024-12-08,0.0,-13.291808184613199,40.42697277938348,5.682683706197624,29.04464558592973
2024-12-15,0.0,0.0,28.40261685405438,3.5227706626214594,9.78678515652905
2024-12-22,0.0,-2.9405625945320644,15.147704229541462,4.35002324591919,6.69882547569392
2024-12-29,0.0,-1.8415276945337227,41.14779707137434,8.70608859078802,22.266702955918053
2025-01-05,0.0,-2.150888627849913,47.5537948986139,8.719440034267022,6.522712899667261
2025-01-12,0.0,-2.7734483253502074,22.745242257115535,4.413202667534233,6.708419465427958
2025-01-19,0.0,0.0,14.145717438296,2.1182347539310533,1.3459224902563438
2025-01-26,0.0,-14.418259503445979,9.936322733832943,-0.6235983614105762,0.6005413132572416
2025-02-02,0.0,-4.438917390285108,52.276706110087936,13.408175028693414,35.544225641865324
2025-02-09,0.0,-7.20047337324548,6.570245063318228,7.546792287597406,11.82308054519151
2025-02-16,0.0,-30.008339178832156,6.388971292531476,1.4070351221566404,3.686849061814263
2025-02-23,0.0,-32.78588047948531,35.2041403992178,12.037686044347524,19.06755017486367
2025-03-02,0.0,-10.51180783777066,18.53890215244987,4.356115598088685,5.350583250959363
2025-03-09,0.0,-0.3675718931948949,38.62944987058165,7.095466270380816,5.166370616336867
2025-03-16,0.0,-8.484857068988722,34.23304368475493,16.842884735440755,22.10352436631432
2025-03-23,0.0,0.0,10.90211479496812,3.0152162620565415,1.9835123788842
2025-03-30,0.0,34.065781179995334,86.20829495231467,27.946382058654482,45.65598063495394
2025-04-06,0.0,-3.1287981387299837,0.5182185044426197,-0.3152669825932846,0.35145883003246603
